name,slug,description,price,sale_price,category_id,material,origin,style,stock,image_url,filter_color,filter_material,filter_construction,filter_pattern,filter_weave,dim1_label,dim1_width,dim1_length,dim1_shape,dim1_price,dim1_sale_price,dim1_stock,dim1_default,dim2_label,dim2_width,dim2_length,dim2_shape,dim2_price,dim2_sale_price,dim2_stock,dim2_default,dim3_label,dim3_width,dim3_length,dim3_shape,dim3_price,dim3_sale_price,dim3_stock,dim3_default,colors
"Persian Mashad Persian-mashad-31",persian-mashad-31,"Luxurious Persian Mashad handcrafted in Bangladesh. Rich textures and patterns in Seagrass make this a statement piece for Rustic decor.",2280,,7,Seagrass,Bangladesh,Rustic,17,,"Gold, Ivory",Seagrass,Hooked,Solid,Modern,"2' x 10'",2,10,runner,2280,,20,yes,"3' x 12'",3,12,runner,6120,,17,no,,,,,,,,,"Charcoal: #36454f, Green: #008000"
"Seagrass Basketweave Seagrass-basketweave-32",seagrass-basketweave-32,"Beautiful Seagrass Basketweave rug hand-crafted in Afghanistan. Made from premium Polyester with exceptional detail and durability. Perfect for Industrial interiors.",2675,,5,Polyester,Afghanistan,Industrial,3,,"Cream, Charcoal, Emerald",Polyester,Flatweave,Abstract,Indian,"5' Round",5,5,round,2675,,6,yes,"7' Round",7,7,round,10976,,2,no,"4' x 6'",4,6,rectangular,5376,,20,no,"Purple: #800080"
"Persian Mashad Persian-mashad-33",persian-mashad-33,"Authentic Persian Mashad rug made in Afghanistan from high-quality Viscose. Timeless design for Traditional homes.",7200,,5,Viscose,Afghanistan,Traditional,18,,"Blue, Mustard",Viscose,Hand-Tufted,Geometric,Casual,"8' x 10'",8,10,rectangular,7200,6120,19,yes,"6' x 9'",6,9,rectangular,9720,,19,no,,,,,,,,,"Orange: #ffa500, Charcoal: #36454f"
"Moroccan Kilim Moroccan-kilim-34",moroccan-kilim-34,"Exquisite Moroccan Kilim featuring intricate patterns woven by skilled artisans in China. Premium Cotton construction ensures lasting beauty.",3968,,4,Cotton,China,Vintage,19,,"Blue, Green",Cotton,Hand-Woven,Border,Moroccan,"2' x 8'",2,8,runner,3968,,9,yes,"9' x 12'",9,12,rectangular,26352,22399,14,no,,,,,,,,,"Mustard: #ffdb58, Green: #008000, Blush: #de5d83"
"Distressed Modern Distressed-modern-35",distressed-modern-35,"Beautiful Distressed Modern rug hand-crafted in Tibet. Made from premium Natural Wool with exceptional detail and durability. Perfect for Modern interiors.",15680,,4,"Natural Wool",Tibet,Modern,22,,"Charcoal, Blush, Mustard","Natural Wool",Hand-Tufted,Paisley,Casual,"8' Round",8,8,round,15680,13328,7,yes,"7' Round",7,7,round,8673,7372,7,no,"3' x 5'",3,5,rectangular,3645,,9,no,"Beige: #d4c4b0"
"Chenille Soft Chenille-soft-36",chenille-soft-36,"Exquisite Chenille Soft featuring intricate patterns woven by skilled artisans in Turkey. Premium Jute construction ensures lasting beauty.",6125,,3,Jute,Turkey,Glam,12,,Blue,Jute,Flatweave,Solid,Moroccan,"5' x 7'",5,7,rectangular,6125,5206,8,yes,"5' Round",5,5,round,5850,,2,no,,,,,,,,,"Black: #000000, Emerald: #50c878, Gray: #808080, Terracotta: #e2725b"
"Bohemian Pattern Bohemian-pattern-37",bohemian-pattern-37,"Authentic Bohemian Pattern rug made in Nepal from high-quality Chenille. Timeless design for Coastal homes.",8480,,3,Chenille,Nepal,Coastal,7,,"Navy Blue",Chenille,Machine-Made,Border,Casual,"8' x 10'",8,10,rectangular,8480,,10,yes,"3' x 5'",3,5,rectangular,2325,,10,no,,,,,,,,,"Red: #ff0000, Blush: #de5d83"
"Turkish Cicim Turkish-cicim-38",turkish-cicim-38,"Exquisite Turkish Cicim featuring intricate patterns woven by skilled artisans in Bangladesh. Premium 100% Wool construction ensures lasting beauty.",3700,,6,"100% Wool",Bangladesh,Industrial,17,,"Navy Blue, Blush","100% Wool",Braided,Botanical,Modern,"5' Round",5,5,round,3700,,13,yes,"10' x 14'",10,14,rectangular,27020,22967,8,no,"6' x 9'",6,9,rectangular,12906,,20,no,"Mustard: #ffdb58, Navy Blue: #1a2744"
"Turkish Oushak Turkish-oushak-39",turkish-oushak-39,"Authentic Turkish Oushak rug made in Bangladesh from high-quality Seagrass. Timeless design for Minimalist homes.",1968,,7,Seagrass,Bangladesh,Minimalist,7,,Emerald,Seagrass,Hand-Tufted,Paisley,Moroccan,"2' x 8'",2,8,runner,1968,1673,5,yes,"4' x 6'",4,6,rectangular,4584,3896,20,no,"6' x 9'",6,9,rectangular,7938,6747,15,no,"Rust: #b7410e, Orange: #ffa500, Tan: #d2b48c, Blush: #de5d83"
"Art Deco Glam Art-deco-glam-40",art-deco-glam-40,"Authentic Art Deco Glam rug made in Morocco from high-quality Sisal. Timeless design for Minimalist homes.",3120,,7,Sisal,Morocco,Minimalist,28,,Charcoal,Sisal,Hooked,Geometric,Modern,"4' x 6'",4,6,rectangular,3120,,13,yes,,,,,,,,,,,,,,,,,"Rust: #b7410e"
"Abstract Splash Abstract-splash-41",abstract-splash-41,"Luxurious Abstract Splash handcrafted in Bangladesh. Rich textures and patterns in Wool make this a statement piece for Coastal decor.",18684,,7,Wool,Bangladesh,Coastal,14,,Mustard,Wool,Knotted,Solid,Turkish,"9' x 12'",9,12,rectangular,18684,,13,yes,,,,,,,,,,,,,,,,,"Tan: #d2b48c"
"Bohemian Macrame Bohemian-macrame-42",bohemian-macrame-42,"Stunning Bohemian Macrame from Turkey, crafted using traditional techniques with Sisal. Adds elegance to any Rustic space.",10152,8629,6,Sisal,Turkey,Rustic,19,,Ivory,Sisal,Hand-Knotted,Paisley,Turkish,"9' x 12'",9,12,rectangular,10152,,20,yes,"8' Round",8,8,round,10112,8595,13,no,,,,,,,,,"Burgundy: #800020, Ivory: #fffff0, Black: #000000"
"Jute Natural Jute-natural-43",jute-natural-43,"Luxurious Jute Natural handcrafted in Iran. Rich textures and patterns in Faux Fur make this a statement piece for Vintage decor.",9360,,7,"Faux Fur",Iran,Vintage,23,,Burgundy,"Faux Fur",Machine-Made,Medallion,Persian,"8' x 10'",8,10,rectangular,9360,7956,17,yes,"6' x 9'",6,9,rectangular,13500,,9,no,"2' x 8'",2,8,runner,3184,,18,no,"Blue: #0000ff, Tan: #d2b48c, Blush: #de5d83, Burgundy: #800020"
"Bohemian Pattern Bohemian-pattern-44",bohemian-pattern-44,"Luxurious Bohemian Pattern handcrafted in China. Rich textures and patterns in Polyester make this a statement piece for Minimalist decor.",3240,2754,5,Polyester,China,Minimalist,10,,"Charcoal, Green",Polyester,Knotted,Paisley,Traditional,"3' x 5'",3,5,rectangular,3240,2754,18,yes,"6' x 9'",6,9,rectangular,9396,,2,no,"4' x 6'",4,6,rectangular,4824,4100,10,no,"Beige: #d4c4b0"
"Turkish Oushak Turkish-oushak-45",turkish-oushak-45,"Stunning Turkish Oushak from Pakistan, crafted using traditional techniques with Jute. Adds elegance to any Traditional space.",24516,,8,Jute,Pakistan,Traditional,28,,Charcoal,Jute,Flatweave,Floral,Traditional,"9' x 12'",9,12,rectangular,24516,,10,yes,,,,,,,,,,,,,,,,,"Blue: #0000ff, Charcoal: #36454f, Mustard: #ffdb58, Purple: #800080"
"Vintage Tabriz Vintage-tabriz-46",vintage-tabriz-46,"Exquisite Vintage Tabriz featuring intricate patterns woven by skilled artisans in China. Premium Microfiber construction ensures lasting beauty.",8892,,4,Microfiber,China,Traditional,17,,"Brown, Green",Microfiber,Knotted,Floral,Modern,"3' x 12'",3,12,runner,8892,,10,yes,"9' x 12'",9,12,rectangular,17064,,10,no,"8' Round",8,8,round,12352,,9,no,"White: #ffffff"
"Southwestern Zapotec Southwestern-zapotec-47",southwestern-zapotec-47,"Exquisite Southwestern Zapotec featuring intricate patterns woven by skilled artisans in Iran. Premium Seagrass construction ensures lasting beauty.",21000,17850,4,Seagrass,Iran,Traditional,27,,"Cream, Gold, Gray",Seagrass,Hand-Knotted,Floral,Moroccan,"10' x 14'",10,14,rectangular,21000,,5,yes,"3' x 5'",3,5,rectangular,3405,,13,no,"6' x 9'",6,9,rectangular,9936,,16,no,"Tan: #d2b48c, Beige: #d4c4b0, Red: #ff0000"
"Abstract Expression Abstract-expression-48",abstract-expression-48,"Authentic Abstract Expression rug made in Iran from high-quality Faux Fur. Timeless design for Modern homes.",12201,,7,"Faux Fur",Iran,Modern,10,,"Tan, Sage, Mustard","Faux Fur",Hand-Tufted,Botanical,Casual,"7' Round",7,7,round,12201,,5,yes,"10' x 14'",10,14,rectangular,32760,27846,11,no,"9' x 12'",9,12,rectangular,10908,,14,no,"Red: #ff0000, Beige: #d4c4b0, Ivory: #fffff0, Tan: #d2b48c"
"Persian Bidjar Persian-bidjar-49",persian-bidjar-49,"Authentic Persian Bidjar rug made in Turkey from high-quality Polyester. Timeless design for Glam homes.",10800,9180,6,Polyester,Turkey,Glam,17,,Gold,Polyester,Braided,Medallion,Indian,"9' x 12'",9,12,rectangular,10800,,18,yes,"10' x 14'",10,14,rectangular,18480,,18,no,"2' x 10'",2,10,runner,1700,,11,no,"Rust: #b7410e, Black: #000000, Orange: #ffa500"
"Distressed Oushak Distressed-oushak-50",distressed-oushak-50,"Beautiful Distressed Oushak rug hand-crafted in India. Made from premium Seagrass with exceptional detail and durability. Perfect for Coastal interiors.",9536,8106,4,Seagrass,India,Coastal,30,,Orange,Seagrass,Flatweave,Floral,Indian,"8' Round",8,8,round,9536,,5,yes,"4' x 6'",4,6,rectangular,3648,,14,no,"5' Round",5,5,round,3350,,20,no,"Gray: #808080"
"Persian Shiraz Persian-shiraz-51",persian-shiraz-51,"Exquisite Persian Shiraz featuring intricate patterns woven by skilled artisans in Iran. Premium Natural Wool construction ensures lasting beauty.",6230,,8,"Natural Wool",Iran,Rustic,23,,Brown,"Natural Wool",Hand-Knotted,Floral,Modern,"5' x 7'",5,7,rectangular,6230,5296,6,yes,"7' Round",7,7,round,6419,,10,no,"8' x 10'",8,10,rectangular,17040,,16,no,"Black: #000000, Burgundy: #800020"
"Coastal Stripe Coastal-stripe-52",coastal-stripe-52,"Exquisite Coastal Stripe featuring intricate patterns woven by skilled artisans in China. Premium Viscose construction ensures lasting beauty.",3432,,7,Viscose,China,Modern,26,,"Orange, Purple",Viscose,Hooked,Medallion,Indian,"4' x 6'",4,6,rectangular,3432,,14,yes,"5' x 7'",5,7,rectangular,5075,,19,no,,,,,,,,,"Rust: #b7410e, Burgundy: #800020, Brown: #8b4513"
"Overdyed Striped Overdyed-striped-53",overdyed-striped-53,"Exquisite Overdyed Striped featuring intricate patterns woven by skilled artisans in Tibet. Premium Seagrass construction ensures lasting beauty.",18480,,3,Seagrass,Tibet,Contemporary,25,,Gold,Seagrass,Hand-Tufted,Geometric,Indian,"8' x 10'",8,10,rectangular,18480,,9,yes,"7' Round",7,7,round,4557,,18,no,"4' x 6'",4,6,rectangular,4536,3856,17,no,"Emerald: #50c878"
"Egyptian Ziegler Egyptian-ziegler-54",egyptian-ziegler-54,"Authentic Egyptian Ziegler rug made in China from high-quality Wool. Timeless design for Transitional homes.",3760,,4,Wool,China,Transitional,28,,"Burgundy, Red",Wool,Hand-Tufted,Abstract,Modern,"2' x 10'",2,10,runner,3760,3196,20,yes,"2' x 8'",2,8,runner,2304,,19,no,"3' x 12'",3,12,runner,4320,3672,9,no,"Blush: #de5d83, Beige: #d4c4b0"
"Chinese Peking Chinese-peking-55",chinese-peking-55,"Beautiful Chinese Peking rug hand-crafted in Bangladesh. Made from premium Jute with exceptional detail and durability. Perfect for Glam interiors.",7875,,3,Jute,Bangladesh,Glam,13,,"Cream, Orange, Sage",Jute,Flatweave,Solid,Indian,"5' x 7'",5,7,rectangular,7875,,6,yes,"8' Round",8,8,round,15488,,17,no,,,,,,,,,"Blush: #de5d83"
"Turkish Cicim Turkish-cicim-56",turkish-cicim-56,"Luxurious Turkish Cicim handcrafted in Tibet. Rich textures and patterns in Microfiber make this a statement piece for Vintage decor.",6223,5290,7,Microfiber,Tibet,Vintage,18,,"Teal, Blush, Sage",Microfiber,Hand-Woven,Floral,Traditional,"7' Round",7,7,round,6223,,12,yes,"2' x 8'",2,8,runner,1776,,2,no,"2' x 10'",2,10,runner,4120,,7,no,"Gray: #808080, Navy Blue: #1a2744, Blue: #0000ff"
"Industrial Recycled Industrial-recycled-57",industrial-recycled-57,"Authentic Industrial Recycled rug made in Iran from high-quality Sisal. Timeless design for Glam homes.",11264,,6,Sisal,Iran,Glam,18,,"Black, Mustard",Sisal,Knotted,Paisley,Indian,"8' Round",8,8,round,11264,,17,yes,"2' x 10'",2,10,runner,2800,,8,no,,,,,,,,,"Blush: #de5d83, Brown: #8b4513, Beige: #d4c4b0"
"Southwestern Navajo Southwestern-navajo-58",southwestern-navajo-58,"Beautiful Southwestern Navajo rug hand-crafted in Turkey. Made from premium Faux Fur with exceptional detail and durability. Perfect for Vintage interiors.",7740,,8,"Faux Fur",Turkey,Vintage,6,,"Charcoal, Brown","Faux Fur",Hand-Woven,Distressed,Indian,"3' x 12'",3,12,runner,7740,,5,yes,"7' Round",7,7,round,11025,,5,no,,,,,,,,,"Terracotta: #e2725b, Gold: #c9a227, Beige: #d4c4b0"
"Pakistani Chobi Pakistani-chobi-59",pakistani-chobi-59,"Beautiful Pakistani Chobi rug hand-crafted in India. Made from premium Viscose with exceptional detail and durability. Perfect for Rustic interiors.",10368,,7,Viscose,India,Rustic,4,,"Rust, Teal, Terracotta",Viscose,Knotted,Paisley,Indian,"9' x 12'",9,12,rectangular,10368,,13,yes,"3' x 12'",3,12,runner,8208,6977,14,no,,,,,,,,,"Blush: #de5d83"
